[2026-04-20T14:09:39.2737191+02:00] +     0ms | app_ctor
[2026-04-20T14:09:39.2866325+02:00] +     8ms | on_launched_start
[2026-04-20T14:09:39.2968287+02:00] +    18ms | root_trace_initialized | C:\Users\Boris\Development\zavod
[2026-04-20T14:09:39.3456967+02:00] +    67ms | bootstrap_complete
[2026-04-20T14:09:39.4199459+02:00] +   142ms | loading_overlay_initially_visible
[2026-04-20T14:09:39.4359351+02:00] +   158ms | loading_overlay_initially_visible
[2026-04-20T14:09:39.4485379+02:00] +   170ms | projects_webview_construct
[2026-04-20T14:09:39.5257107+02:00] +   247ms | main_window_created
[2026-04-20T14:09:39.5536449+02:00] +   275ms | storage_latest_window_loaded | conversation=b6bcd04add2349d58e5353bbadc8cd01, start=1, end=2, total=2, loaded=2
[2026-04-20T14:09:39.5772033+02:00] +   299ms | window_activated
[2026-04-20T14:09:39.5821572+02:00] +   304ms | webview_prewarm_start
[2026-04-20T14:09:39.5834779+02:00] +   305ms | webview_ensure_start
[2026-04-20T14:09:39.6075736+02:00] +   329ms | webview_loaded
[2026-04-20T14:09:39.6077965+02:00] +   329ms | webview_ensure_join_existing
[2026-04-20T14:09:39.6082903+02:00] +   330ms | webview_loaded
[2026-04-20T14:09:39.6085007+02:00] +   330ms | webview_ensure_start
[2026-04-20T14:09:39.6102140+02:00] +   332ms | projects_webview_loaded
[2026-04-20T14:09:39.6111985+02:00] +   333ms | projects_webview_ensure_start
[2026-04-20T14:09:39.8138436+02:00] +   536ms | webview_ensure_end
[2026-04-20T14:09:39.8218492+02:00] +   544ms | webview_source_set | https://appassets.zavod/UI/Web/Chats/chats.surface.html?v=top-layer-v2
[2026-04-20T14:09:39.8385466+02:00] +   560ms | state_snapshot_window | start=1, end=2, hasOlder=False, count=2
[2026-04-20T14:09:39.8388338+02:00] +   560ms | webview_ensure_skipped_initialized
[2026-04-20T14:09:39.8572645+02:00] +   579ms | webview_ensure_end
[2026-04-20T14:09:39.8577415+02:00] +   579ms | webview_source_set | https://appassets.zavod/UI/Web/Chats/chats.surface.html?v=top-layer-v2
[2026-04-20T14:09:39.8641553+02:00] +   586ms | projects_webview_ensure_end
[2026-04-20T14:09:39.8646452+02:00] +   586ms | projects_webview_source_set | https://appassets.zavod/UI/Web/Projects/projects.surface.html
[2026-04-20T14:09:39.8714643+02:00] +   593ms | webview_navigation_starting | https://appassets.zavod/UI/Web/Chats/chats.surface.html?v=top-layer-v2
[2026-04-20T14:09:39.8718813+02:00] +   594ms | webview_navigation_starting | https://appassets.zavod/UI/Web/Chats/chats.surface.html?v=top-layer-v2
[2026-04-20T14:09:39.8723209+02:00] +   594ms | projects_webview_navigation_starting | https://appassets.zavod/UI/Web/Projects/projects.surface.html
[2026-04-20T14:09:41.8818722+02:00] +  2604ms | web_message_received | dom_ready
[2026-04-20T14:09:41.8843845+02:00] +  2606ms | web_message_received | renderer_ready
